type,id,name
MUNICIPALITY_CITY,113,"Muntinlupa City, Metro Manila"
MUNICIPALITY_CITY,117,"Taguig City, Metro Manila"
MUNICIPALITY_CITY,118,"Pateros, Metro Manila"
MUNICIPALITY_CITY,670,"Lucena City, Quezon"
MUNICIPALITY_CITY,111,"Mandaluyong City, Metro Manila"
MUNICIPALITY_CITY,102,"Manila, Metro Manila"
MUNICIPALITY_CITY,115,"Navotas City, Metro Manila"
MUNICIPALITY_CITY,104,"Caloocan City, Metro Manila"
MUNICIPALITY_CITY,114,"Malabon City, Metro Manila"
MUNICIPALITY_CITY,107,"Valenzuela City, Metro Manila"
MUNICIPALITY_CITY,103,"Quezon City, Metro Manila"
MUNICIPALITY_CITY,116,"San Juan City, Metro Manila"
MUNICIPALITY_CITY,110,"Las Piñas City, Metro Manila"
MUNICIPALITY_CITY,113,"Muntinlupa City, Metro Manila"
MUNICIPALITY_CITY,117,"Taguig City, Metro Manila"
MUNICIPALITY_CITY,118,"Pateros, Metro Manila"
MUNICIPALITY_CITY,670,"Lucena City, Quezon"
